,Country,2015,2016,2017,2018,2019,Booster doses per 100 people,Total vaccine doses administered per 100 population,Total Confirmed Cases,Newly Confirmed Cases,Total Deaths,New Deaths,Total Recovered Cases,Newly Recovered Cases,Lat,Lon
154,Afghanistan,10.1,11.8,12.6,14.2,14.8,6.361,56.733,55696,16,2442,4,49281,195,33.0,65.0
0,Albania,6.5,6.7,6.5,6.7,,14.095,107.3,104313,986,1736,21,67158,849,41.1533,20.1683
82,Algeria,7.0,6.6,6.3,6.2,6.3,1.313,34.817,112622,161,2973,3,77683,146,28.0339,1.6596
36,Andorra,7.0,7.0,7.2,7.4,7.4,54.497,203.3,10799,24,110,0,10356,37,42.5063,1.5218
83,Angola,2.6,2.7,2.8,2.6,2.7,9.085,84.095,20695,55,502,1,19238,17,-11.202692,17.873887
113,Antigua and Barbuda,5.3,5.1,4.9,4.8,4.4,10.046,139.399,701,55,14,0,271,38,17.060816,-61.796428
58,Argentina,10.2,9.0,10.4,9.5,9.5,68.17,242.617,2093645,8234,51795,145,1886732,4164,-38.4161,-63.6167
84,Armenia,10.1,10.0,10.4,10.0,11.4,2.915,76.2,171227,0,3179,0,162984,0,40.0691,45.0382
85,Aruba,,,,,,33.399,203.224,7804,29,71,0,7494,58,12.52111,-69.968338
59,Australia,10.2,10.1,10.1,10.1,10.2,56.48,269.691,6991,0,98,0,6301,0,-25.274398,133.775136
16,Austria,10.4,10.4,10.4,10.3,10.5,60.207,229.2,452767,2391,8493,23,425786,1438,47.5162,14.5501
136,Azerbaijan,4.1,4.0,3.7,3.6,4.1,33.982,136.4,233770,126,3209,3,228299,142,40.1431,47.5769
60,Bahrain,5.0,4.9,4.5,4.1,4.0,59.278,204.319,120495,637,439,2,113132,809,26.0275,50.55
17,Bangladesh,2.7,2.9,2.8,2.7,2.6,,219.947,544954,410,8384,5,494755,957,23.685,90.3563
37,Barbados,6.8,6.7,6.6,6.6,6.2,21.867,132.83,2949,42,32,0,2171,79,13.193887,-59.543198
38,Belarus,6.1,5.9,5.8,5.5,5.9,59.727,238.2,282898,1191,1948,9,273146,1413,53.7098,27.9534
137,Belgium,10.8,10.8,10.8,10.8,10.7,62.365,252.7,763885,3076,22006,18,52091,145,50.8333,4.0
39,Belize,5.9,6.1,5.7,5.8,6.1,12.634,128.454,12280,9,315,0,11824,8,17.189877,-88.49765
40,Benin,2.7,2.5,2.6,2.5,2.3,,34.913,5434,0,70,0,4248,0,9.3077,2.3158
41,Bermuda,,,,,,51.112,212.037,705,2,12,0,682,1,32.321384,-64.75737
138,Bhutan,3.8,3.6,3.3,3.2,3.6,82.249,260.68,867,0,1,0,862,0,27.5142,90.4336
