COUNTRY,Vaccines - Total doses administered per 100 population,PERSONS_BOOSTER_ADD_DOSE_PER100
Albania,107.3,14.095
Chile,346.687,82.48
Congo,15.1,
Côte d’Ivoire,95.776,11.899
Denmark,256.2,61.582
Greenland,140.453,
Guernsey,276.92,107.556
Guinea,91.751,3.239
Guinea-Bissau,46.786,3.88
Guyana,122.069,9.901
Hungary,169.6,39.929
Japan,324.034,68.469
Kyrgyzstan,48.5,4.608
Mauritius,205.699,51.464
Mongolia,172.899,32.299
North Macedonia,89.4,7.685
Seychelles,228.332,45.691
Trinidad and Tobago,113.587,12.493
Turkmenistan,278.2,60.178
Uganda,57.731,1.672
Ukraine,72.4,1.703
Yemen,4.317,0.223
American Samoa,207.812,43.77
Austria,229.2,60.207
Bangladesh,219.947,s
Brunei Darussalam,295.58,77.825
Bulgaria,66.4,12.182
Central African Republic,69.201,7.583
Cuba,336.428,77.182
Curaçao,158.644,26.289
Ecuador,223.856,43.691
Estonia,165.9,36.596
Ethiopia,59.894,5.2
Fiji,172.596,19.196
Gambia,59.772,2.224
Guadeloupe,100.001,22.245
Honduras,170.643,47.101
Ireland,249.6,60.442
Jordan,98.577,6.686
Libya,54.417,2.718
Lithuania,162.2,32.149
Malawi,44.454,6.444
Maldives,176.075,30.948
Malta,248.8,67.689
Netherlands,215.8,53.533
Niger,30.455,
Romania,83.4,9.289
Saint Vincent and the Grenadines,66.201,3.857
Slovakia,132.3,31.031
Andorra,203.3,54.497
Anguilla,164.051,20.304
Bahamas,93.163,8.574
Barbados,132.83,21.867
Belarus,238.2,59.727
Belize,128.454,12.634
Benin,34.913,
Bermuda,212.037,51.112
Bolivia (Plurinational State of),137.208,21.311
"Bonaire, Sint Eustatius and Saba",137.934,
Botswana,134.871,21.587
Cambodia,284.716,64.279
Cameroon,18.385,3.027
Canada,258.589,52.399
Chad,54.619,24.611
Croatia,134,25.79
French Polynesia,175.749,36.424
Georgia,68.7,6.684
Grenada,80.593,6.586
Indonesia,163.859,25.357
Iran (Islamic Republic of),185.07,34.022
Kenya,44.169,3.721
Kosovo,,5.927
Liberia,88.196,0.039
Madagascar,11.166,0.611
Mauritania,87.656,8.256
Nepal,214.878,35.2
Argentina,242.617,68.17
Australia,269.691,56.48
Bahrain,204.319,59.278
British Virgin Islands,137.094,12.323
Egypt,110.103,14.87
El Salvador,176.169,29.265
Eswatini,75.007,15.468
Greece,205.1,56.429
Guam,208.975,49.535
India,159.911,16.581
Latvia,156.2,29.37
Lesotho,62.509,8.3
Luxembourg,213.7,57.101
Montserrat,92.398,11.262
Namibia,39.585,11.75
Papua New Guinea,6.021,0.412
Portugal,270.8,68.46
Qatar,264.111,66.115
Saudi Arabia,196.86,46.129
